Char,Freq,Class
游戏,277,1
玩,246,1
好玩,231,1
不错,121,1
太,91,1
坑,65,-1
哈哈哈,63,0
咯,55,0
说,54,0
王者,53,0
好好,52,1
喜欢,42,1
真,40,1
英雄,38,0
想,33,0
队友,32,0
开,30,0
朋友,30,0
时间,30,0
手,30,0
破,29,0
荣耀,27,0
中,27,0
春天,26,0
赞,26,0
爱,25,1
家,25,0
挺,25,0
一款,25,0
棒,24,1
钱,22,0
饿,21,0
农药,21,0
性,21,0
操作,20,0
好评,20,1
人生,20,0
神,20,0
时,20,0
新手,20,0
真的,20,0
感觉,19,0
更新,19,0
黑,19,0
爽,19,0
位,19,0
符,18,0
婆婆,18,0
声音,18,0
文,18,0
希望,18,0
新,18,0
游,18,0
排,17,0
话,16,0
买,16,0
努力,16,0
匹配,16,0
里,15,0
输,15,0
死,15,0
特别,15,0
心,15,0
强,14,0
生活,14,0
手机,14,0
小学生,14,0
越来越,14,0
666,13,0
高,13,0
行,13,0
送,13,0
真心,13,0
做,13,0
点,12,0
机,12,0
牛,12,0
热,12,0
上瘾,12,1
越,12,0
变,11,0
超,11,0
东西,11,0
开心,11,1
款,11,0
皮肤,11,0
少,11,0
天,11,0
娱乐,11,1
逼,10,0
超级,10,0
沉迷,10,1
急,10,0
厉害,10,0
女,10,0
配合,10,0
平衡,10,0
身边,10,0
适合,10,0
外婆,10,0
完,10,0
系统,10,0
选择,10,0
讯,10,0
lol,9,0
分,9,0
挂,9,0
桔,9,0
卡,9,0
拉,9,0
乐,9,0
练,9,0
色,9,0
事情,9,0
幸福,9,0
正,9,0
值得,9,0
钻石,9,0
低,8,0
恶,8,0
法师,8,0
公平,8,0
节奏,8,0
解决,8,0
力,8,0
历史,8,0
良心,8,1
旅途,8,0
耐心,8,0
难,8,0
上手,8,0
师,8,0
书,8,0
天天,8,0
停,8,0
心灵,8,0
友,8,0
有意思,8,0
战,8,0
召唤,8,0
支持,8,0
不好,7,2
差,7,0
成,7,0
刺激,7,0
电脑,7,0
爹,7,0
懂得,7,0
度,7,0
方式,7,0
飞,7,0
改,7,0
攻击,7,0
跪,7,0
花,7,0
技能,7,0
简单,7,1
金,7,0
久,7,0
举报,7,0
可可,7,0
克,7,0
哭,7,0
垃圾,7,0
联盟,7,0
评论,7,0
群,7,0
生命,7,0
提,7,0
图,7,0
团队,7,0
五星,7,1
谢谢,7,0
意识,7,0
有人,7,0
有时候,7,0
语音,7,0
长,7,0
中毒,7,1
追求,7,0
1,6,0
5,6,0
阿里,6,0
充,6,0
打发,6,0
干,6,0
关键,6,0
过瘾,6,1
黄,6,0
火,6,1
加油,6,1
今晚,6,0
局,6,0
快乐,6,1
累,6,0
路,6,0
骂,6,0
妹子,6,0
女生,6,0
碰到,6,0
确,6,0
入,6,0
赛,6,0
杀,6,0
事,6,0
视频,6,0
耍,6,0
塔,6,0
歪,6,0
完美,6,1
玩玩,6,0
问,6,0
兴趣,6,1
休闲,6,1
学,6,0
一点,6,0
增加,6,0
装,6,0
子,6,0
走,6,0
66666,5,0
LOL,5,0
残留,5,0
惩罚,5,0
吃,5,0
脆,5,0
错误,5,-1
地方,5,0
读,5,0
发,5,0
干净,5,0
好友,5,0
号,5,0
和好,5,0
回,5,0
基,5,0
健康,5,1
结束,5,0
进,5,0
